Movie_ID,Names,Characters_Position,Rank,Primary_Role
111161,Tim Robbins,Andy Dufresne,1,Actor
111161,Morgan Freeman,Ellis Boyd 'Red' Redding,1,Actor
111161,Bob Gunton,Warden Norton,1,Actor
111161,William Sadler,Heywood,1,Actor
111161,Clancy Brown,Captain Hadley,1,Actor
111161,Gil Bellows,Tommy,1,Actor
111161,Mark Rolston,Bogs Diamond,1,Actor
111161,James Whitmore,Brooks Hatlen,1,Actor
111161,Jeffrey DeMunn,1946 D.A.,1,Actor
111161,Larry Brandenburg,Skeet,1,Actor
111161,Neil Giuntoli,Jigger,1,Actor
111161,Brian Libby,Floyd,1,Actor
111161,David Proval,Snooze,1,Actor
111161,Joseph Ragno,Ernie,1,Actor
111161,Jude Ciccolella,Guard Mert,1,Actor
111161,Paul McCrane,Guard Trout,1,Actor
111161,Renee Blaine,Andy Dufresne's Wife,1,Actress
111161,Scott Mann,Glenn Quentin,1,Actor
111161,John Horton,1946 Judge,1,Actor
111161,Gordon Greene,1947 Parole Hearings Man,1,Actor
111161,Alfonso Freeman,Fresh Fish Con,1,Actor
111161,Vincent Foster,Hungry Fish Con,1,Actor
111161,John E. Summers,New Fish Guard,1,Actor
111161,Frank Medrano,Fat Ass,1,Actor
111161,Mack Miles,Tyrell,1,Actor
111161,Alan R. Kessler,Laundry Bob,1,Actor
111161,Morgan Lund,Laundry Truck Driver,1,Actor
111161,Cornell Wallace,Laundry Leonard,1,Actor
111161,Gary Lee Davis,Rooster,1,Actor
111161,Neil Summers,Pete,1,Stunts
111161,Ned Bellamy,Guard Youngblood,1,Actor
111161,Joe Pecoraro,Projectionist,1,Actor
111161,Harold E. Cope Jr.,Hole Guard,1,Actor
111161,Brian Delate,Guard Dekins,1,Actor
111161,Don McManus,Guard Wiley,1,Actor
111161,Donald Zinn,Moresby Batter,1,Actor
111161,Dorothy Silver,1954 Landlady,1,Actress
111161,Robert Haley,1954 Food-Way Manager,1,Actor
111161,Dana Snyder,1954 Food-Way Woman,1,Actress
111161,John D. Craig,1957 Parole Hearings Man,1,Additional Crew
111161,Ken Magee,Ned Grimes,1,Actor
111161,Eugene C. DePasquale,Mail Caller,1,Camera and Electrical Department
111161,Bill Bolender,Elmo Blatch,1,Actor
111161,Ron Newell,Elderly Hole Guard,1,Actor
111161,John R. Woodward,Bullhorn Tower Guard,1,Second Unit Director or Assistant Director
111161,Chuck Brauchler,Man Missing Guard,1,Actor
111161,Dion Anderson,Head Bull Haig,1,Actor
111161,Claire Slemmer,Bank Teller,1,Actress
111161,James Kisicki,Bank Manager,1,Actor
111161,Rohn Thomas,Bugle Editor,1,Actor
111161,Charlie Kearns,1966 D.A.,1,Actor
111161,Rob Reider,Duty Guard,1,Actor
111161,Brian Brophy,1967 Parole Hearings Man,1,Actor
111161,Paul Kennedy,1967 Food-Way Manager,1,Actor
111161,James Babson,Con,1,Actor
111161,Dennis Baker,Old Man on Bus,1,Actor
111161,Fred Culbertson,Police Officer,1,Transportation Department
111161,Richard Doone,Con,1,Actor
111161,Samantha Goldberg,Bank Employee,1,Actress
111161,Shane Grove,Inmate,1,Actor
